candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,partisan_lean,primary_pctg,won_primary,race,veteran,lgbtq,elected_official,self_funder,stem,obama_alum,dem_party_support,emily_endorsed,gun_sense_candidate,biden_endorsed,warren_endorsed,sanders_endorsed,our_revolution_endorsed,justice_dems_endorsed,pccc_endorsed,indivisible_endorsed,wfp_endorsed,votevets_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Marge Doyle,Marge4Congress,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,59.610001,,White,No,Yes,No,No,Yes,No,,,,,,,,,,,,,,True,0,11,47,4,16,1,10,23,10,1,14,3,3,3,10,7,38,1454,305,367,782,2.656121045392022
Rita Ramirez,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,27.67,,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,
Ronald O'Donnell,,,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,12.71,,White,No,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,
Cary Kennedy,Kennedy4CO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,24.719999,No,White,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,,True,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,21,5,6,10,2.4761904761904763
Donna Lynne,DonnaLynneCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,7.280000200000001,No,White,No,No,Yes,No,No,No,,No,No,,,,,,,,,,,True,0,10,47,1,2,0,8,9,1,0,6,4,4,4,2,0,7,294,34,73,187,3.0408163265306123
Jared Polis,jaredpolis,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,2.49,44.43,Yes,White,No,Yes,Yes,Yes,No,No,,No,No,,,,,,,,,,,True,0,5,8,0,6,0,2,4,0,0,40,0,0,0,2,4,10,435,82,175,178,2.4413793103448276
Michael Johnston,MikeJohnstonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,23.57,No,White,No,No,Yes,No,No,Yes,,No,No,,,,,,,,,,,True,0,51,14,1,12,1,38,11,1,0,20,1,1,2,4,2,11,726,83,234,409,2.8980716253443526
Joe Neguse,JoeNeguse,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,18.040001,65.82,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,37,2,4,31,3.5675675675675675
Mark Williams,MarkforColorado,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,None,18.040001,34.18,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,5,2,0,2,0,2,5,2,0,2,0,0,0,0,0,5,124,34,49,41,2.1129032258064515
Arn Menconi,ArnMenconi,,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,-13.03,8.220000299999999,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,,True,0,137,49,4,20,42,4,24,20,3,72,2,2,2,3,11,256,2236,885,979,372,1.5411449016100178
Diane Mitsch Bush,RepDMB,,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-13.03,64.099998,Yes,White,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,,True,1,4,49,4,6,4,5,12,9,0,16,2,2,6,0,3,21,473,105,156,212,2.4524312896405918
Karl Hanlon,HanlonforCO,,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,-13.03,27.68,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,,True,0,6,6,1,8,0,7,3,2,0,15,0,0,0,1,1,6,224,27,31,166,3.2410714285714284
Chase Kohne,chasekohne4co,,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Lost,None,None,-24.68,35.32,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,3,27,0,4,0,12,11,7,0,24,2,2,3,0,2,1,211,34,40,137,2.976303317535545
Karen McCormick,McCormickForCO,,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-24.68,64.629997,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,6,35,2,10,0,13,20,3,0,1,3,3,4,7,3,2,351,68,75,208,2.797720797720798
Jason Crow,JasonCrowCO6,,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,5.420000099999998,65.940002,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,No,,,,,Yes,,True,2,49,38,5,19,5,23,20,5,0,11,0,0,0,5,4,42,688,93,155,440,3.008720930232558
Levi Tillemann,LeviTilleman,,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,None,None,5.420000099999998,34.060001,No,White,No,No,No,No,Yes,Yes,No,,,,,,Yes,,,,,No,,True,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,7,0,1.75
Stacey Abrams,staceyabrams,,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-8.3400002,76.440002,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,Yes,Yes,,Yes,,Yes,,,True,5,60,176,14,24,5,124,132,4,0,8,4,4,4,28,55,9,1845,232,606,1007,2.8401084010840107
Stacey Evans,EvansforGeorgia,,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,-8.3400002,23.559999,No,White,No,No,No,Yes,No,No,,No,,,,No,No,,No,,No,,,True,0,3,11,0,0,2,11,4,1,0,1,0,0,0,1,7,8,430,41,97,292,3.167441860465116
Barbara Seidman,,,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,None,None,-17.379998999999998,32.459999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,No,No,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,
Lisa Ring,LisaRingGA01,,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.379998999999998,67.540001,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,No,Yes,,,,True,3,29,59,5,24,2,45,69,22,0,52,2,2,6,10,12,33,1488,320,405,763,2.5954301075268815
Chalis Montgomery,Chalis4GA,,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,None,-28.209999,26.459999,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,37,92,5,33,12,23,64,14,0,4,5,5,5,1,14,24,1187,350,453,384,2.0572872788542544
Richard Dien Winfield,WinfieldForUS,,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,None,-28.209999,23.33,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,14,29,7,11,3,9,97,0,0,6,1,1,1,1,9,16,440,139,178,123,1.9272727272727272
Tabitha Johnson-Green,TJG4GA,,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-28.209999,50.200001,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,0,2,0,2,0,2,1,0,0,1,0,0,0,1,0,0,33,10,9,14,2.242424242424242
Francys Johnson,francysjohnson,,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.629998999999994,52.860001,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,4,2,0,0,3,4,7,2,0,0,0,0,0,1,1,14,278,32,99,147,2.827338129496403
Robert Ingham,RobbieeInghamm,,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,None,-17.629998999999994,31.15,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1366,352,648,366,2.020497803806735
Trent Nesmith,VoteTrent18,,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,None,-17.629998999999994,15.99,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,6,7,0,1,0,1,6,2,0,1,0,0,0,0,2,3,175,37,50,88,2.5828571428571427
Chuck Enderlin,Vote_Chuck,,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.380001,59.869999,Yes,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,True,0,8,36,0,5,0,6,12,7,0,7,0,0,0,0,3,41,703,187,252,264,2.2190611664295874
Rusty Oliver,OliverForGA3rd,,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Lost,None,None,-34.380001,40.130001,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,12,20,3,3,0,11,12,0,2,6,0,0,0,5,2,21,420,76,144,200,2.5904761904761906
Bobby Kaple,BobbKaple,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,None,-9.4799995,26.25,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin Abel,AbelForChange,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Lost,None,-9.4799995,30.540001,No,White,No,No,No,No,Yes,No,,No,No,,,,,,,,,,,True,0,6,7,0,8,1,2,6,1,0,4,0,0,0,1,1,20,213,38,54,121,2.779342723004695
Lucy McBath,lucymcbath,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,-9.4799995,36.27,Yes,Nonwhite,No,No,No,No,Yes,No,,Yes,Yes,,,,,,,,,,,True,2,98,39,0,6,1,13,10,2,0,1,1,1,1,6,2,9,725,114,173,438,2.893793103448276
Steven Knight Griffin,SKnightGriffin,,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,None,-9.4799995,6.9499998,No,White,No,No,No,No,No,No,,No,No,,,,,,,,,,,True,0,4,0,1,2,0,0,3,0,0,1,0,0,0,1,0,9,129,48,55,26,1.6589147286821706
Carolyn Bourdeaux,Carolyn4GA7,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Advanced,On the Ballot,-12.73,27.280001,Yes,White,No,No,No,No,No,No,,Yes,,,,,No,,,,,,,True,1,25,75,1,13,2,30,8,5,0,4,2,2,2,6,4,18,802,101,181,520,3.0448877805486285
David Kim,DavidKim2018,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Lost,None,-12.73,25.98,No,Nonwhite,No,No,No,Yes,No,No,,No,,,,,No,,,,,,,True,0,29,53,2,21,1,44,9,6,0,3,1,1,2,1,7,28,754,154,200,400,2.6525198938992043
Ethan Pham,VoteEthanPham,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,17.84,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,True,0,22,3,1,9,0,2,1,1,0,1,0,0,0,0,0,8,306,24,47,235,3.3790849673202614
Kathleen Allen,,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,11.02,No,White,No,No,No,No,No,No,,No,,,,,Yes,,,,,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,
Melissa Davis,DavisforGA,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,13.67,No,Nonwhite,No,No,No,No,No,No,,No,,,,,No,,,,,,,True,0,15,6,0,1,0,2,0,0,0,2,1,1,1,0,2,16,441,60,121,260,2.9070294784580497
Steve Reilly,SteveReilly2018,,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,None,-12.73,4.1999998,No,White,Yes,No,No,No,No,No,,No,,,,,No,,,,,,,True,0,15,2,0,3,0,4,3,5,0,6,0,0,0,0,1,38,278,62,62,154,2.661870503597122
Dave Cooper,RealDavidCooper,,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,None,None,-60.810001,47.27,No,White,Yes,No,No,No,No,No,,,,,,,No,,,Yes,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh McCall,Mccallforall,,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-60.810001,52.73,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,No,,,,True,1,177,253,58,192,81,51,114,45,5,13,29,29,31,17,11,474,3260,1105,1423,732,1.7711656441717791
Andy McGuire,DrAndyMcGuire,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,5.25,No,White,No,No,No,No,Yes,No,,,No,,,,No,,No,,No,,,True,0,16,69,8,4,0,22,6,1,0,13,6,6,6,10,4,8,598,107,168,323,2.722408026755853
Cathy Glasson,CathyGlasson,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,20.549999,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,,Yes,,Yes,,,True,4,29,96,10,10,0,17,52,1,0,4,7,7,7,0,1,7,591,125,238,228,2.3485617597292725
Fred Hubbell,FredHubbell,,IA,Governor of Iowa,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-8.1400003,55.41,Yes,White,No,No,No,Yes,No,No,,,No,,,,No,,No,,No,,,True,0,3,213,2,0,0,98,46,9,0,9,1,1,3,2,1,4,956,300,253,403,2.215481171548117
John Norris,JohnNorrisIA,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,11.44,No,White,No,No,No,No,No,Yes,,,No,,,,No,,No,,No,,,True,0,9,15,4,3,0,15,8,3,0,5,1,1,2,3,1,2,366,45,86,235,3.0382513661202184
Nate Boulton,NateBoulton,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,4.9699998,No,White,No,No,Yes,No,No,No,,,No,,,,No,,No,,No,,,True,0,8,84,12,7,0,53,58,4,0,9,3,3,5,5,2,6,764,101,228,435,2.8743455497382198
Ross Wilburn,letsbeiowa,,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,-8.1400003,2.1700001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,No,,No,,,True,0,10,12,1,2,0,16,11,0,0,10,2,2,2,5,3,0,334,20,85,229,3.251497005988024
Abby Finkenauer,Abby4Iowa,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-1.73,66.800003,Yes,White,No,No,Yes,No,No,No,Yes,Yes,,Yes,,,,,,,,,,True,3,3,24,5,3,0,7,24,14,0,2,0,0,2,0,3,21,530,112,123,295,2.690566037735849
Courtney Rowe,RoweCourtneylr7,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,7.5900002,No,White,No,No,No,No,Yes,No,No,No,,No,,,,Yes,,,,,,True,1,10,5,1,0,2,2,1,0,0,0,3,3,3,11,2,14,206,76,70,60,1.8446601941747574
George Ramsey,SenatorRobHogg,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,6.369999900000002,No,Nonwhite,Yes,No,No,No,No,No,No,No,,No,,,,,,,,,,True,0,6,57,1,12,0,43,88,105,0,77,3,3,3,0,7,76,1140,466,317,357,1.8087719298245615
Thomas Heckroth,HeckrothForIowa,,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,-1.73,19.120001,No,White,No,No,No,No,No,Yes,No,No,,No,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cindy Axne,Axne4Congress,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-4.1100001000000015,57.799999,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,No,No,,,,,,,True,2,5,82,5,2,0,11,20,18,0,5,0,0,1,3,3,29,605,129,140,336,2.6842975206611572
Eddie Mauro,eddiejmauro,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001000000015,26.35,No,White,No,No,No,Yes,No,No,No,No,,,,No,No,,,,,,,True,0,10,4,2,6,1,9,3,2,0,1,0,0,0,2,1,13,221,30,41,150,3.085972850678733
Pete D'Alessandro,peteforiowa,,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,-4.1100001000000015,15.58,No,White,No,No,No,No,No,No,No,No,,,,Yes,Yes,,,,,,,True,2,13,23,0,1,0,0,5,2,0,5,1,1,1,0,0,9,270,50,99,121,2.525925925925926
J.D. Scholten,scholten4iowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-25.110001,51.259998,Yes,White,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Paschen,apaschenforiowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,-25.110001,16.719998999999998,No,White,No,No,No,No,Yes,No,,,,,,,No,,,,No,,,True,0,39,16,5,10,1,3,4,2,1,0,0,0,0,2,1,14,667,93,199,375,2.845577211394303
Leann Jacobsen,LeannForIowa,,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,-25.110001,31.92,No,White,No,No,Yes,No,No,No,,,,,,,No,,,,No,,,True,0,4,18,3,7,0,7,8,2,0,1,2,2,3,0,3,15,288,55,87,146,2.6319444444444446
A.J. Balukoff,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,-34.330002,40.099998,No,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,
Paulette E. Jordan,PauletteEJordan,,ID,Governor of Idaho,Governor,Regular,5/15/18,Advanced,None,On the Ballot,-34.330002,58.400002,Yes,Nonwhite,No,No,Yes,No,No,No,,,,,,,Yes,,,Yes,,,,True,2,6,32,2,0,0,22,8,1,0,5,0,0,0,0,8,0,395,35,85,275,3.2151898734177213
Peter Dill,,,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,-34.330002,1.4,No,White,No,No,No,No,No,No,,,,,,,No,,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,
Christina McNeil,ForMcneil,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-39.43,69.699997,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,10,3.6363636363636362
James Vandermaas,ibdmoose,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,-39.43,15.8,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0
Michael Smith,,,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,-39.43,14.5,No,White,Yes,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Aaron Swisher,SwisherforIdaho,,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-28.809999,67.599998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,2,9,0,10,2,8,27,9,0,7,0,0,0,1,1,17,282,77,71,134,2.404255319148936
Peter Rickards,,,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Lost,None,None,-28.809999,32.400002,No,White,No,No,No,No,No,No,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,
Bob Daiber,BobDaiber,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.1,No,White,No,No,Yes,No,No,No,,,,,,,No,,,No,,,,True,0,1,2,0,3,0,9,8,1,0,0,0,0,0,1,3,0,223,15,65,143,3.1479820627802693
Chris Kennedy,KennedyforIL,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,24.4,No,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,,True,0,23,14,4,3,0,25,23,9,0,8,0,0,3,4,4,14,520,104,170,246,2.546153846153846
Daniel K. Biss,DanielBiss,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,26.700001,No,White,No,No,Yes,No,Yes,No,,,,,,,Yes,,,Yes,,,,True,2,23,51,3,17,5,34,43,23,0,15,3,3,3,23,1,76,1354,310,564,480,2.2511078286558344
J.B. Pritzker,JBPritzker,,IL,Governor of Illinois,Governor,Regular,3/20/18,Advanced,None,On the Ballot,14.48,45.099998,Yes,White,No,No,No,Yes,No,No,,,,,,,No,,,No,,,,True,0,35,62,8,33,10,60,77,4,0,21,1,1,3,40,10,108,1715,284,409,1022,2.8606413994169095
Robert Marshall,GovDrMarshall,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.1,No,White,Yes,No,No,No,Yes,No,,,,,,,No,,,No,,,,True,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,168,43,79,46,2.0357142857142856
Tio Hardiman,TioHardiman,,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,14.48,1.6,No,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,No,,,,True,0,39,2,0,4,0,2,2,1,0,4,0,0,0,5,0,75,1256,234,476,546,2.4968152866242037
Brendan Kelly,Kelly4SouthrnIL,,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-13.26,81.0,Yes,White,Yes,No,No,No,No,No,Yes,,,Yes,,,,,,,,Yes,,True,3,0,28,0,2,0,2,27,0,0,10,3,3,3,0,4,6,524,73,160,291,2.83206106870229
David Bequette,dbequette,,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,None,None,-13.26,19.0,No,White,Yes,No,No,No,No,No,No,,,No,,,,,,,,No,,True,0,16,6,1,3,0,0,2,0,0,3,0,0,0,0,1,61,280,52,123,105,2.3785714285714286
Angel Sides,AngelS4Congress,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,4.1999998,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,True,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,7,89,20,57,12,1.8202247191011236
Betsy Londrigan,BetsyforIL,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-6.73,45.700001,Yes,White,No,No,No,No,No,No,Yes,Yes,,,,,,No,,,,,,True,2,10,86,1,2,1,7,19,6,0,4,1,1,1,0,2,28,552,102,150,300,2.717391304347826
David Gill,GillForYou2016,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,14.4,No,White,No,No,No,No,Yes,No,No,No,,,,,,Yes,,,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Erik Jones,ErikJones4IL,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,22.4,No,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,True,0,6,8,0,1,0,3,7,8,0,6,0,0,0,0,1,20,335,68,108,159,2.5432835820895523
Jonathan Ebel,jonathan_ebel,,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,-6.73,13.3,No,White,Yes,No,No,No,No,No,No,No,,,,,,No,,,,,,True,0,32,4,1,0,0,5,1,0,0,0,0,0,0,0,2,13,223,27,78,118,2.8161434977578477
Daniel Roldan-Johnson,WeCanMAF,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,2.3,No,White,No,Yes,No,No,No,No,No,No,No,,No,,No,,,,,,,True,0,4,4,0,1,0,1,4,4,0,1,0,0,0,1,0,33,156,42,57,57,2.1923076923076925
George Weber,Weber_4Congress,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,5.0,No,White,No,No,No,No,Yes,No,No,No,No,,No,,No,,,,,,,True,0,3,17,0,3,0,1,6,11,1,18,0,0,0,0,0,34,165,99,51,15,0.9818181818181818
Jim Walz,WalzForCongress,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,10.0,No,White,No,No,No,No,No,No,No,No,No,,No,,Yes,,,,,,,True,1,30,52,0,6,0,4,16,16,0,10,3,3,3,5,2,48,597,134,245,218,2.2814070351758793
John Hosta,JohnJHosta,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,5.0,No,White,No,No,No,No,No,No,No,No,No,,No,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3.0
Lauren Underwood,LaurenUnderwood,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-7.96,57.299999,Yes,Nonwhite,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,,No,,,,,,,True,4,28,80,13,6,7,11,20,12,0,14,0,0,0,6,1,15,828,176,187,465,2.6980676328502415
Matt Brolley,MattBrolley,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,13.4,No,White,No,No,Yes,No,Yes,No,No,No,No,,No,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Victor Swanson,electvswanson,,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,-7.96,7.0,No,White,Yes,No,No,No,No,No,No,No,No,,No,,No,,,,,,,True,0,11,6,0,2,0,6,2,6,0,0,0,0,0,0,0,3,192,44,94,54,2.1041666666666665
Carl Spoerer,CarlResists,,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Lost,None,None,-44.630001,37.900002,No,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,True,0,4,31,2,5,0,2,38,41,2,17,3,3,3,1,4,71,816,212,288,316,2.2549019607843137
Kevin Gaither,Gaither4IL,,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,None,On the Ballot,-44.630001,62.099998,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,,True,0,30,70,3,18,1,26,148,50,4,6,1,1,1,2,2,59,957,483,325,149,1.3019853709508882
Amy Murri Briel,MurriBrielIL16,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,19.5,No,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,True,1,46,6,2,4,2,8,12,2,0,2,4,4,4,0,0,31,1322,387,493,442,2.0832072617246595
Beth Vercolio-Osmund,VercolioOsmund,,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,None,-17.360001,13.0,No,White,No,No,No,No,No,No,,,,,,,No,,,,,,,True,0,33,26,2,21,3,25,18,6,0,8,2,2,3,4,3,101,949,220,374,355,2.284510010537408
